Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,,,2018-07-31 16:00:41,2018-07-31 16:02:37,1m - 56.132s,PASSED
,,,,,,
Test Cases/TC01_Verify Correct Alarm Message,,"- An automation script to help user getting started with Mobile automation testing.\n- Script Content: Click \""START ALARM SERVICE\"" and click \""STOP ALARM SERVICE\"", verify alert show is correct",2018-07-31 16:00:41,2018-07-31 16:01:38,56.701s,PASSED
comment,,,2018-07-31 16:00:42,2018-07-31 16:00:42,0.076s,PASSED
comment,,,2018-07-31 16:00:42,2018-07-31 16:00:42,0.004s,PASSED
"Statement - appPath = com.kms.katalon.core.util.internal.PathUtil.relativeToAbsolutePath(G_AndroidApp, com.kms.katalon.core.configuration.RunConfiguration.getProjectDir())",,Get full directory's path of android application,2018-07-31 16:00:42,2018-07-31 16:00:42,0.019s,PASSED
startApplication,,,2018-07-31 16:00:42,2018-07-31 16:01:28,46.274s,PASSED
comment,,,2018-07-31 16:01:28,2018-07-31 16:01:28,0.007s,PASSED
tap,,,2018-07-31 16:01:28,2018-07-31 16:01:29,0.773s,PASSED
tap,,,2018-07-31 16:01:29,2018-07-31 16:01:30,1.061s,PASSED
comment,,,2018-07-31 16:01:30,2018-07-31 16:01:30,0.004s,PASSED
tap,,,2018-07-31 16:01:30,2018-07-31 16:01:31,1.047s,PASSED
"Statement - message = com.kms.katalon.core.mobile.keyword.MobileBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Application/App/Activity/Custom Dialog/android.widget.TextViewCustomDialog), 10)",,Get displayed message on the dialog,2018-07-31 16:01:31,2018-07-31 16:01:32,0.736s,PASSED
comment,,,2018-07-31 16:01:32,2018-07-31 16:01:32,0.003s,PASSED
verifyEqual,,,2018-07-31 16:01:32,2018-07-31 16:01:32,0.022s,PASSED
closeApplication,,,2018-07-31 16:01:32,2018-07-31 16:01:38,5.984s,PASSED
,,,,,,
Test Cases/TC02_Verify Last Items In List,,- An automation script to help user getting started with Mobile automation testing.\n- Script Content: Open the application and verify the items show full when the items over loading,2018-07-31 16:01:38,2018-07-31 16:02:37,58.784s,PASSED
comment,,,2018-07-31 16:01:38,2018-07-31 16:01:38,0.002s,PASSED
comment,,,2018-07-31 16:01:38,2018-07-31 16:01:38,0.003s,PASSED
"Statement - appPath = com.kms.katalon.core.util.internal.PathUtil.relativeToAbsolutePath(G_AndroidApp, com.kms.katalon.core.configuration.RunConfiguration.getProjectDir())",,Get full directory's path of android application,2018-07-31 16:01:38,2018-07-31 16:01:38,0.002s,PASSED
startApplication,,,2018-07-31 16:01:38,2018-07-31 16:02:23,44.934s,PASSED
comment,,,2018-07-31 16:02:23,2018-07-31 16:02:23,0.003s,PASSED
tap,,,2018-07-31 16:02:23,2018-07-31 16:02:24,0.379s,PASSED
comment,,,2018-07-31 16:02:24,2018-07-31 16:02:24,0.003s,PASSED
scrollToText,,,2018-07-31 16:02:24,2018-07-31 16:02:31,7.343s,PASSED
comment,,,2018-07-31 16:02:31,2018-07-31 16:02:31,0.002s,PASSED
"Statement - itemText = com.kms.katalon.core.mobile.keyword.MobileBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Application/Graphics/android.widget.TextView - Xfermodes), G_Timeout)",,Get item's label,2018-07-31 16:02:31,2018-07-31 16:02:31,0.220s,PASSED
verifyEqual,,,2018-07-31 16:02:31,2018-07-31 16:02:31,0.001s,PASSED
closeApplication,,,2018-07-31 16:02:31,2018-07-31 16:02:37,5.628s,PASSED
